year,total_emp,resident_emp,nonresident_emp,nonresident_share_pct
1990,1478.0,1127.6,350.4,23.71
1991,1530.5,1142.4,388.1,25.36
1992,1570.9,1176.8,394.1,25.09
1993,1641.5,1206.4,435.1,26.51
1994,1713.5,1239.3,474.2,27.67
1995,1822.5,1276.9,545.6,29.94
1996,1925.3,1316.9,608.4,31.6
1997,2045.6,1360.2,685.4,33.51
1998,2022.1,1332.4,689.7,34.11
1999,2062.0,1374.1,687.9,33.36
2000,2170.6,1432.5,738.1,34.0
2001,2170.5,1433.8,736.7,33.94
2002,2147.6,1453.2,694.4,32.33
2003,2134.8,1468.2,666.6,31.23
2004,2206.2,1518.1,688.1,31.19
2005,2319.5,1581.6,737.9,31.81
2006,2495.4,1672.4,823.0,32.98
2007,2730.4,1762.8,967.6,35.44
2008,2952.1,1827.6,1124.5,38.09
2009,2989.8,1869.4,1120.4,37.47
2010,3105.6,1962.9,1142.7,36.79
2011,3228.2,1999.0,1229.2,38.08
2012,3357.4,2040.6,1316.8,39.22
2013,3493.5,2056.2,1437.3,41.14
2014,3623.7,2103.5,1520.2,41.95
2015,3656.0,2147.9,1508.1,41.25
2016,3673.1,2165.3,1507.8,41.05
2017,3669.4,2175.2,1494.2,40.72
2018,3714.8,2203.7,1511.1,40.68
2019,3784.3,2230.4,1553.9,41.06
2020,3603.3,2222.7,1380.6,38.31
2021,3629.6,2286.5,1343.1,37.0
2022,3889.8,2350.5,1539.3,39.57
2023,3986.3,2352.4,1633.9,40.99
2024,4046.1,2365.5,1680.6,41.54
2025,4116.9,2376.5,1740.4,42.27
